id;name;url;nodes
130570;Аксессуары;https://www.wildberries.by/catalog?category=130570;gift3
130583;Белье;https://www.wildberries.by/catalog?category=130583;gift3
130580;Бижутерия;https://www.wildberries.by/catalog?category=130580;gift3
130571;Для дома;https://www.wildberries.by/catalog?category=130571;gift4
130572;Игрушки;https://www.wildberries.by/catalog?category=130572;gift5
130573;Канцелярия и книги;https://www.wildberries.by/catalog?category=130573;gift6
130574;Мужской уход;https://www.wildberries.by/catalog?category=130574;gift6
130575;Открытки и сувениры;https://www.wildberries.by/catalog?category=130575;gift6
130577;Посуда;https://www.wildberries.by/catalog?category=130577;gift5
130578;Продукты;https://www.wildberries.by/catalog?category=130578;gift6
130617;Тапочки;https://www.wildberries.by/catalog?category=130617;gift6
130579;Хобби и творчество;https://www.wildberries.by/catalog?category=130579;gift6
130576;Шарики и упаковка;https://www.wildberries.by/catalog?category=130576;gift6
128561;Именные подарки;https://www.wildberries.by/catalog?category=128561;gift6
260;Аксессуары;https://www.wildberries.by/catalog?category=260;bathroom3
60456;Для детей;https://www.wildberries.by/catalog?category=60456;bathroom3
261;Коврики;https://www.wildberries.by/catalog?category=261;bathroom3
60454;Корзинки;https://www.wildberries.by/catalog?category=60454;bathroom3
128426;Мебель, зеркала, шторы;https://www.wildberries.by/catalog?category=128426;bathroom3
262;Полотенца;https://www.wildberries.by/catalog?category=262;bathroom2
60461;Сантехника;https://www.wildberries.by/catalog?category=60461;bathroom2
8708;Аксессуары для напитков;https://www.wildberries.by/catalog?category=8708;kitchen15
8709;Аксессуары для специй;https://www.wildberries.by/catalog?category=8709;kitchen15
8710;Бокалы и стаканы;https://www.wildberries.by/catalog?category=8710;kitchen15
8701;Выпечка и запекание;https://www.wildberries.by/catalog?category=8701;kitchen15
8711;Графины и кувшины;https://www.wildberries.by/catalog?category=8711;kitchen16
61239;Декоративная посуда;https://www.wildberries.by/catalog?category=61239;kitchen5
8702;Емкости для хранения;https://www.wildberries.by/catalog?category=8702;kitchen16
8703;Измельчители и соковыжималки;https://www.wildberries.by/catalog?category=8703;kitchen16
8704;Кастрюли и сковороды;https://www.wildberries.by/catalog?category=8704;kitchen16
130076;Для глинтвейна;https://www.wildberries.by/catalog?category=130076;kitchen9
130077;Для детей;https://www.wildberries.by/catalog?category=130077;kitchen9
130078;Для кофе;https://www.wildberries.by/catalog?category=130078;kitchen9
130079;Для чая;https://www.wildberries.by/catalog?category=130079;kitchen10
130080;Заварочные;https://www.wildberries.by/catalog?category=130080;kitchen9
130081;Именные;https://www.wildberries.by/catalog?category=130081;kitchen11
130508;Керамические;https://www.wildberries.by/catalog?category=130508;kitchen12
130084;Пивные;https://www.wildberries.by/catalog?category=130084;kitchen9
130082;С двойными стенками;https://www.wildberries.by/catalog?category=130082;kitchen9
130507;Стеклянные;https://www.wildberries.by/catalog?category=130507;kitchen9
130083;Наборы;https://www.wildberries.by/catalog?category=130083;kitchen9
130505;Фарфоровые;https://www.wildberries.by/catalog?category=130505;kitchen9
130506;Хамелеон;https://www.wildberries.by/catalog?category=130506;kitchen13
130510;Эмалированные;https://www.wildberries.by/catalog?category=130510;kitchen9
130481;Прочие;https://www.wildberries.by/catalog?category=130481;kitchen9
8705;Кухонная утварь;https://www.wildberries.by/catalog?category=8705;kitchen15
8720;Кухонный декор;https://www.wildberries.by/catalog?category=8720;kitchen15
130073;Грелки для посуды;https://www.wildberries.by/catalog?category=130073;kitchen7
130074;Дорожки кухонные;https://www.wildberries.by/catalog?category=130074;kitchen7
130072;Плейсматы;https://www.wildberries.by/catalog?category=130072;kitchen7
130066;Прихватки;https://www.wildberries.by/catalog?category=130066;kitchen7
130070;Подушки на стул;https://www.wildberries.by/catalog?category=130070;kitchen7
130071;Полотенца кухонные;https://www.wildberries.by/catalog?category=130071;kitchen7
130069;Рушники;https://www.wildberries.by/catalog?category=130069;kitchen7
130065;Скатерти;https://www.wildberries.by/catalog?category=130065;kitchen7
130068;Салфетки;https://www.wildberries.by/catalog?category=130068;kitchen8
130067;Фартуки кухонные;https://www.wildberries.by/catalog?category=130067;kitchen8
130075;Чехлы для ручек холодильников;https://www.wildberries.by/catalog?category=130075;kitchen8
130854;Блокноты;https://www.wildberries.by/catalog?category=130854;kitchen20
130855;Города и страны;https://www.wildberries.by/catalog?category=130855;kitchen20
130856;Еда и напитки;https://www.wildberries.by/catalog?category=130856;kitchen20
130857;Животные и птицы;https://www.wildberries.by/catalog?category=130857;kitchen20
130858;Знаки зодиака;https://www.wildberries.by/catalog?category=130858;kitchen20
130859;Именные;https://www.wildberries.by/catalog?category=130859;kitchen21
130860;Календари;https://www.wildberries.by/catalog?category=130860;kitchen21
130861;Машины и техника;https://www.wildberries.by/catalog?category=130861;kitchen21
130862;Мотиваторы;https://www.wildberries.by/catalog?category=130862;kitchen20
130864;Наборы;https://www.wildberries.by/catalog?category=130864;kitchen20
130865;Открывалки;https://www.wildberries.by/catalog?category=130865;kitchen20
130866;Праздники;https://www.wildberries.by/catalog?category=130866;kitchen20
130867;Профессии;https://www.wildberries.by/catalog?category=130867;kitchen20
130868;Религия;https://www.wildberries.by/catalog?category=130868;kitchen20
130869;С термометром;https://www.wildberries.by/catalog?category=130869;kitchen20
130870;Спорт;https://www.wildberries.by/catalog?category=130870;kitchen20
130871;Талисманы и обереги;https://www.wildberries.by/catalog?category=130871;kitchen20
130872;Цветы и растения;https://www.wildberries.by/catalog?category=130872;kitchen20
130873;Цитаты и пословицы;https://www.wildberries.by/catalog?category=130873;kitchen20
130874;Юмор;https://www.wildberries.by/catalog?category=130874;kitchen20
130863;Прочие;https://www.wildberries.by/catalog?category=130863;kitchen20
8706;Ножи и аксессуары;https://www.wildberries.by/catalog?category=8706;kitchen18
12861;Посуда для микроволновой печи;https://www.wildberries.by/catalog?category=12861;kitchen18
8722;Порядок на кухне;https://www.wildberries.by/catalog?category=8722;kitchen18
8707;Разделочные доски;https://www.wildberries.by/catalog?category=8707;kitchen18
8713;Сервизы и наборы;https://www.wildberries.by/catalog?category=8713;kitchen18
